Chr,start,end,LITCHI007109_threshold,LITCHI007109_Mean,TB0135
Chr7,17771600,17771700,36.5,36.5,1.0
Chr1,11147400,11147500,3.0416666666666665,36.5,12.0
Chr4,4243100,4243200,6.636363636363637,36.5,5.5
Chr2,13057500,13057600,12.166666666666666,36.5,3.0
Chr2,33576700,33576800,3.3181818181818183,36.5,11.0
Chr3,31285800,31285900,10.428571428571429,36.5,3.5
Chr5,24313700,24313800,6.083333333333333,36.5,6.0
Chr6,3700500,3700600,14.6,36.5,2.5
Chr3,6594200,6594300,2.607142857142857,36.5,14.0
Chr12,7628300,7628400,9.125,36.5,4.0
Chr12,7606300,7606400,5.214285714285714,36.5,7.0
Chr13,14242700,14242800,8.11111111111111,36.5,4.5
Chr12,3190100,3190200,3.1739130434782608,36.5,11.5
Chr12,508700,508800,4.5625,36.5,8.0
Chr8,17654600,17654700,5.615384615384615,36.5,6.5
Chr7,27022900,27023000,18.25,36.5,2.0
Chr2,34215700,34215800,12.166666666666666,36.5,3.0
Chr15,487500,487600,9.125,36.5,4.0
Chr13,8639700,8639800,14.6,36.5,2.5
Chr15,352600,352700,5.214285714285714,36.5,7.0
Chr2,34235600,34235700,2.7037037037037037,36.5,13.5
Chr1,14615200,14615300,8.11111111111111,36.5,4.5
Chr2,4345500,4345600,2.433333333333333,36.5,15.0
Chr6,11135500,11135600,36.5,36.5,1.0
Chr13,3076000,3076100,18.25,36.5,2.0
Chr7,21348700,21348800,3.1739130434782608,36.5,11.5
Chr2,37314100,37314200,12.166666666666666,36.5,3.0
Chr6,6434600,6434700,10.428571428571429,36.5,3.5
Chr5,23378600,23378700,2.1470588235294117,36.5,17.0
Chr3,35547800,35547900,10.428571428571429,36.5,3.5
Chr6,23589400,23589500,3.1739130434782608,36.5,11.5
Chr3,30733300,30733400,24.333333333333332,36.5,1.5
Chr6,8536200,8536300,7.3,36.5,5.0
Chr1,44226200,44226300,4.866666666666666,36.5,7.5
Chr2,2119100,2119200,3.1739130434782608,36.5,11.5
Chr15,10780200,10780300,36.5,36.5,1.0
Chr5,18952500,18952600,3.4761904761904763,36.5,10.5
Chr9,9396500,9396600,4.055555555555555,36.5,9.0
Chr7,3062100,3062200,8.11111111111111,36.5,4.5
Chr3,13431100,13431200,4.055555555555555,36.5,9.0
Chr5,25400700,25400800,4.294117647058823,36.5,8.5
Chr8,17501600,17501700,36.5,36.5,1.0
Chr10,14744200,14744300,5.214285714285714,36.5,7.0
Chr9,25943100,25943200,9.125,36.5,4.0
Chr8,20117300,20117400,10.428571428571429,36.5,3.5
Chr5,6767400,6767500,10.428571428571429,36.5,3.5
Chr5,31553600,31553700,2.8076923076923075,36.5,13.0
Chr10,9884000,9884100,6.083333333333333,36.5,6.0
Chr8,19745100,19745200,36.5,36.5,1.0
Chr12,20423100,20423200,14.6,36.5,2.5
Chr7,14027900,14028000,12.166666666666666,36.5,3.0
Chr15,14096600,14096700,14.6,36.5,2.5
Chr15,18293700,18293800,36.5,36.5,1.0
Chr12,20552400,20552500,6.636363636363637,36.5,5.5
Chr2,37924000,37924100,4.866666666666666,36.5,7.5
Chr7,8866800,8866900,6.083333333333333,36.5,6.0
Chr2,21617300,21617400,14.6,36.5,2.5
Chr12,5751800,5751900,8.11111111111111,36.5,4.5
Chr11,18925400,18925500,18.25,36.5,2.0
Chr1,19560100,19560200,12.166666666666666,36.5,3.0
Chr2,28126600,28126700,2.92,36.5,12.5
Chr6,922200,922300,2.433333333333333,36.5,15.0
Chr3,29765700,29765800,9.125,36.5,4.0
Chr9,25102800,25102900,8.11111111111111,36.5,4.5
Chr6,14413900,14414000,3.3181818181818183,36.5,11.0
Chr14,12146600,12146700,4.5625,36.5,8.0
Chr7,11565300,11565400,12.166666666666666,36.5,3.0
Chr6,1976700,1976800,14.6,36.5,2.5
Chr2,6505400,6505500,18.25,36.5,2.0
Chr15,15003700,15003800,5.615384615384615,36.5,6.5
Chr10,23628200,23628300,2.7037037037037037,36.5,13.5
Chr10,12972800,12972900,36.5,36.5,1.0
Chr4,32500800,32500900,4.5625,36.5,8.0
Chr2,11111500,11111600,6.636363636363637,36.5,5.5
Chr13,1201900,1202000,18.25,36.5,2.0
Chr6,21757000,21757100,4.866666666666666,36.5,7.5
Chr15,12376200,12376300,36.5,36.5,1.0
Chr10,13326900,13327000,3.8421052631578947,36.5,9.5
Chr3,29789700,29789800,2.28125,36.5,16.0
Chr10,21655800,21655900,8.11111111111111,36.5,4.5
Chr5,16674700,16674800,6.083333333333333,36.5,6.0
Chr9,13428200,13428300,2.1470588235294117,36.5,17.0
Chr11,17831700,17831800,2.7037037037037037,36.5,13.5
Chr15,3978200,3978300,3.6,36.0,10.0
Chr5,16249000,16249100,3.130434782608696,36.0,11.5
Chr1,896800,896900,12.0,36.0,3.0
Chr1,39758400,39758500,3.4285714285714284,36.0,10.5
Chr13,5022800,5022900,4.8,36.0,7.5
Chr13,8395200,8395300,6.545454545454546,36.0,5.5
Chr10,8173100,8173200,2.25,36.0,16.0
Chr4,2293200,2293300,12.0,36.0,3.0
Chr9,21983300,21983400,2.057142857142857,36.0,17.5
Chr3,1961600,1961700,8.0,36.0,4.5
Chr15,5207400,5207500,6.545454545454546,36.0,5.5
Chr15,7922700,7922800,4.0,36.0,9.0
Chr2,28718800,28718900,2.88,36.0,12.5
Chr1,37807900,37808000,7.2,36.0,5.0
Chr1,11656500,11656600,6.0,36.0,6.0
Chr7,452600,452700,3.0,36.0,12.0
Chr15,4311800,4311900,36.0,36.0,1.0
Chr6,211800,211900,4.5,36.0,8.0
Chr10,18159000,18159100,12.0,36.0,3.0
Chr13,9362500,9362600,7.2,36.0,5.0
Chr5,16763700,16763800,5.142857142857143,36.0,7.0
Chr10,21300700,21300800,3.6,36.0,10.0
Chr7,14739900,14740000,7.2,36.0,5.0
Chr10,26276400,26276500,4.5,36.0,8.0
Chr9,1725300,1725400,3.4285714285714284,36.0,10.5
Chr13,21602000,21602100,8.0,36.0,4.5
Chr10,25974600,25974700,2.5714285714285716,36.0,14.0
Chr15,19793000,19793100,36.0,36.0,1.0
Chr10,25200000,25200100,2.4,36.0,15.0
Chr3,19733000,19733100,12.0,36.0,3.0
Chr7,3672900,3673000,3.272727272727273,36.0,11.0
Chr7,5908400,5908500,12.0,36.0,3.0
Chr2,27224800,27224900,3.6,36.0,10.0
Chr15,18800300,18800400,4.5,36.0,8.0
Chr4,3127000,3127100,5.142857142857143,36.0,7.0
Chr15,19093900,19094000,7.2,36.0,5.0
Chr7,16131900,16132000,3.6,36.0,10.0
Chr14,20986800,20986900,4.0,36.0,9.0
Chr13,21820400,21820500,2.6666666666666665,36.0,13.5
Chr13,14650600,14650700,5.538461538461538,36.0,6.5
Chr15,20407200,20407300,14.4,36.0,2.5
Chr1,41046400,41046500,2.5714285714285716,36.0,14.0
Chr1,21710200,21710300,3.130434782608696,36.0,11.5
Chr13,10271400,10271500,4.0,36.0,9.0
Chr9,6877300,6877400,3.789473684210526,36.0,9.5
Chr3,29894000,29894100,2.4827586206896552,36.0,14.5
Chr13,11470000,11470100,12.0,36.0,3.0
Chr3,17175000,17175100,3.130434782608696,36.0,11.5
Chr7,2771900,2772000,10.285714285714286,36.0,3.5
Chr7,2951000,2951100,7.2,36.0,5.0
Chr14,16805200,16805300,10.285714285714286,36.0,3.5
Chr5,15334600,15334700,6.0,36.0,6.0
Chr9,14271800,14271900,6.0,36.0,6.0
Chr3,19016600,19016700,2.4827586206896552,36.0,14.5
Chr4,28282100,28282200,4.0,36.0,9.0
Chr5,27826900,27827000,4.235294117647059,36.0,8.5
Chr1,18993900,18994000,5.538461538461538,36.0,6.5
Chr10,20593200,20593300,9.0,36.0,4.0
Chr1,32033200,32033300,2.25,36.0,16.0
Chr8,27753700,27753800,5.142857142857143,36.0,7.0
Chr12,5520000,5520100,4.0,36.0,9.0
Chr6,11855100,11855200,4.0,36.0,9.0
Chr6,23232900,23233000,6.545454545454546,36.0,5.5
Chr12,618200,618300,2.5714285714285716,36.0,14.0
Chr12,21356300,21356400,3.130434782608696,36.0,11.5
Chr6,10214100,10214200,7.2,36.0,5.0
Chr12,21410300,21410400,4.8,36.0,7.5
Chr8,26571900,26572000,6.545454545454546,36.0,5.5
Chr6,16151100,16151200,5.538461538461538,36.0,6.5
Chr12,10415800,10415900,12.0,36.0,3.0
Chr6,24478900,24479000,36.0,36.0,1.0
Chr2,23326800,23326900,3.789473684210526,36.0,9.5
Chr8,18506400,18506500,4.8,36.0,7.5
Chr2,14743900,14744000,8.0,36.0,4.5
Chr12,9890200,9890300,3.0,36.0,12.0
Chr8,18411700,18411800,9.0,36.0,4.0
Chr2,14265900,14266000,2.25,36.0,16.0
Chr3,9455700,9455800,10.285714285714286,36.0,3.5
Chr8,10167900,10168000,14.4,36.0,2.5
Chr13,2866900,2867000,2.25,36.0,16.0
Chr11,11895000,11895100,36.0,36.0,1.0
Chr3,3598600,3598700,7.2,36.0,5.0
Chr4,4773700,4773800,4.5,36.0,8.0
Chr2,19554700,19554800,4.8,36.0,7.5
Chr15,13515700,13515800,8.875,35.5,4.0
Chr1,25071600,25071700,6.454545454545454,35.5,5.5
Chr6,2877900,2878000,2.0285714285714285,35.5,17.5
Chr7,16906900,16907000,35.5,35.5,1.0
Chr10,22930700,22930800,6.454545454545454,35.5,5.5
Chr1,47522900,47523000,5.461538461538462,35.5,6.5
Chr5,16811000,16811100,7.1,35.5,5.0
Chr9,20717600,20717700,3.9444444444444446,35.5,9.0
Chr7,1251300,1251400,35.5,35.5,1.0
Chr1,23791000,23791100,2.9583333333333335,35.5,12.0
Chr1,47963000,47963100,3.9444444444444446,35.5,9.0
Chr2,15674900,15675000,8.875,35.5,4.0
Chr13,22893900,22894000,14.2,35.5,2.5
Chr2,22378400,22378500,3.227272727272727,35.5,11.0
Chr7,6616700,6616800,7.888888888888889,35.5,4.5
Chr10,1337000,1337100,23.666666666666668,35.5,1.5
Chr15,16267100,16267200,17.75,35.5,2.0
Chr8,29033600,29033700,4.733333333333333,35.5,7.5
Chr13,21665900,21666000,4.176470588235294,35.5,8.5
Chr7,1076900,1077000,7.1,35.5,5.0
Chr11,22195000,22195100,4.176470588235294,35.5,8.5
Chr2,23057700,23057800,14.2,35.5,2.5
Chr14,19624800,19624900,7.1,35.5,5.0
Chr2,1906900,1907000,17.75,35.5,2.0
Chr14,19879000,19879100,17.75,35.5,2.0
Chr6,7910800,7910900,35.5,35.5,1.0
Chr4,33986600,33986700,2.2903225806451615,35.5,15.5
Chr8,29392500,29392600,7.1,35.5,5.0
Chr2,25330500,25330600,17.75,35.5,2.0
Chr15,8011700,8011800,6.454545454545454,35.5,5.5
Chr11,12318700,12318800,8.875,35.5,4.0
Chr2,19670600,19670700,4.733333333333333,35.5,7.5
Chr12,15381400,15381500,23.666666666666668,35.5,1.5
Chr9,28128200,28128300,6.454545454545454,35.5,5.5
Chr2,36909000,36909100,5.071428571428571,35.5,7.0
Chr3,31338400,31338500,17.75,35.5,2.0
Chr12,1300900,1301000,2.3666666666666667,35.5,15.0
Chr10,25953500,25953600,7.1,35.5,5.0
Chr9,156100,156200,2.21875,35.5,16.0
Chr3,11468900,11469000,2.730769230769231,35.5,13.0
Chr3,35612800,35612900,3.736842105263158,35.5,9.5
Chr4,15301400,15301500,14.2,35.5,2.5
Chr5,21978300,21978400,11.833333333333334,35.5,3.0
Chr2,3234800,3234900,10.142857142857142,35.5,3.5
Chr10,26967200,26967300,7.1,35.5,5.0
Chr6,10833700,10833800,5.071428571428571,35.5,7.0
Chr1,39029100,39029200,35.5,35.5,1.0
Chr15,1589300,1589400,2.730769230769231,35.5,13.0
Chr5,18569900,18570000,5.071428571428571,35.5,7.0
Chr9,18730900,18731000,35.5,35.5,1.0
Chr3,22298800,22298900,14.2,35.5,2.5
Chr3,21626100,21626200,8.875,35.5,4.0
Chr7,20264300,20264400,35.5,35.5,1.0
Chr10,23756300,23756400,2.088235294117647,35.5,17.0
Chr10,20500300,20500400,2.6296296296296298,35.5,13.5
Chr7,21285600,21285700,5.916666666666667,35.5,6.0
Chr13,3136400,3136500,5.461538461538462,35.5,6.5
Chr3,31019700,31019800,4.176470588235294,35.5,8.5
Chr1,1582800,1582900,11.833333333333334,35.5,3.0
Chr15,11458500,11458600,35.5,35.5,1.0
Chr10,24218900,24219000,3.227272727272727,35.5,11.0
Chr2,11498800,11498900,23.666666666666668,35.5,1.5
Chr2,26494500,26494600,2.21875,35.5,16.0
Chr7,22014300,22014400,35.5,35.5,1.0
Chr5,23504300,23504400,4.4375,35.5,8.0
Chr13,18426200,18426300,3.227272727272727,35.5,11.0
Chr1,32640000,32640100,2.088235294117647,35.5,17.0
Chr1,20505300,20505400,2.9583333333333335,35.5,12.0
Chr10,12441100,12441200,2.730769230769231,35.5,13.0
Chr11,15969100,15969200,3.227272727272727,35.5,11.0
Chr6,26227700,26227800,35.5,35.5,1.0
Chr2,28522200,28522300,3.227272727272727,35.5,11.0
Chr3,35395400,35395500,4.4375,35.5,8.0
Chr5,13066900,13067000,7.1,35.5,5.0
Chr11,5161800,5161900,6.454545454545454,35.5,5.5
Chr10,16569800,16569900,2.5357142857142856,35.5,14.0
Chr12,9494800,9494900,14.2,35.5,2.5
Chr5,6031900,6032000,23.666666666666668,35.5,1.5
Chr14,12278500,12278600,11.833333333333334,35.5,3.0
Chr10,7055500,7055600,7.888888888888889,35.5,4.5
Chr15,20864800,20864900,4.733333333333333,35.5,7.5
Chr14,8976500,8976600,17.75,35.5,2.0
Chr3,16667600,16667700,35.5,35.5,1.0
Chr3,3271200,3271300,6.454545454545454,35.5,5.5
Chr3,16720500,16720600,5.916666666666667,35.5,6.0
Chr1,16949800,16949900,14.2,35.5,2.5
Chr14,1273100,1273200,5.071428571428571,35.5,7.0
Chr3,23217300,23217400,17.75,35.5,2.0
Chr15,17564600,17564700,3.227272727272727,35.5,11.0
Chr3,29733500,29733600,7.1,35.5,5.0
Chr5,10535200,10535300,3.55,35.5,10.0
Chr5,32229100,32229200,7.1,35.5,5.0
Chr1,126200,126300,3.0869565217391304,35.5,11.5
Chr14,1459500,1459600,2.730769230769231,35.5,13.0
Chr8,16676400,16676500,35.5,35.5,1.0
Chr2,29945300,29945400,7.1,35.5,5.0
Chr7,8355600,8355700,35.5,35.5,1.0
Chr11,6279500,6279600,11.833333333333334,35.5,3.0
Chr9,6289400,6289500,17.75,35.5,2.0
Chr14,1840500,1840600,14.2,35.5,2.5
Chr3,21007100,21007200,3.736842105263158,35.5,9.5
Chr10,14619700,14619800,8.875,35.5,4.0
Chr8,11059300,11059400,14.2,35.5,2.5
Chr15,19117200,19117300,23.666666666666668,35.5,1.5
Chr14,15282500,15282600,3.55,35.5,10.0
Chr6,25601000,25601100,8.875,35.5,4.0
Chr11,18348200,18348300,2.4482758620689653,35.5,14.5
Chr3,16180300,16180400,11.833333333333334,35.5,3.0
Chr11,20840400,20840500,2.9583333333333335,35.5,12.0
Chr2,8986200,8986300,10.142857142857142,35.5,3.5
Chr13,4344800,4344900,17.75,35.5,2.0
Chr1,11864000,11864100,4.4375,35.5,8.0
Chr12,22800500,22800600,4.176470588235294,35.5,8.5
Chr14,13585300,13585400,5.916666666666667,35.5,6.0
Chr9,28740200,28740300,8.875,35.5,4.0
Chr10,19643800,19643900,7.1,35.5,5.0
Chr4,4910000,4910100,35.0,35.0,1.0
Chr10,26610000,26610100,3.6842105263157894,35.0,9.5
Chr3,31525500,31525600,14.0,35.0,2.5
Chr2,16861400,16861500,7.777777777777778,35.0,4.5
Chr1,39432000,39432100,35.0,35.0,1.0
Chr12,22894300,22894400,2.0588235294117645,35.0,17.0
Chr1,8012000,8012100,2.6923076923076925,35.0,13.0
Chr13,17114600,17114700,35.0,35.0,1.0
Chr5,5640700,5640800,7.777777777777778,35.0,4.5
Chr9,4118900,4119000,6.363636363636363,35.0,5.5
Chr1,33135700,33135800,2.5,35.0,14.0
Chr6,22923900,22924000,3.3333333333333335,35.0,10.5
Chr3,36539900,36540000,5.833333333333333,35.0,6.0
Chr13,15121200,15121300,5.833333333333333,35.0,6.0
Chr14,6208800,6208900,2.9166666666666665,35.0,12.0
Chr12,1393100,1393200,4.666666666666667,35.0,7.5
Chr8,16755900,16756000,8.75,35.0,4.0
Chr1,39228200,39228300,7.777777777777778,35.0,4.5
Chr8,16775400,16775500,23.333333333333332,35.0,1.5
Chr13,16425000,16425100,2.5925925925925926,35.0,13.5
Chr6,10967500,10967600,2.121212121212121,35.0,16.5
Chr5,4226300,4226400,2.8,35.0,12.5
Chr5,22649300,22649400,14.0,35.0,2.5
Chr7,22993400,22993500,17.5,35.0,2.0
Chr14,3259300,3259400,4.666666666666667,35.0,7.5
Chr12,16338400,16338500,5.384615384615385,35.0,6.5
Chr3,29359600,29359700,2.121212121212121,35.0,16.5
Chr13,15904900,15905000,5.833333333333333,35.0,6.0
Chr9,20624800,20624900,10.0,35.0,3.5
Chr2,19917600,19917700,4.666666666666667,35.0,7.5
Chr11,18727600,18727700,17.5,35.0,2.0
Chr10,6548900,6549000,7.777777777777778,35.0,4.5
Chr14,14741600,14741700,17.5,35.0,2.0
Chr10,21723400,21723500,2.6923076923076925,35.0,13.0
Chr7,16045100,16045200,35.0,35.0,1.0
Chr11,13573500,13573600,3.3333333333333335,35.0,10.5
Chr14,15692400,15692500,7.0,35.0,5.0
Chr8,12174500,12174600,5.384615384615385,35.0,6.5
Chr11,13683400,13683500,2.5,35.0,14.0
Chr10,2680300,2680400,5.833333333333333,35.0,6.0
Chr4,7335300,7335400,23.333333333333332,35.0,1.5
Chr4,31924700,31924800,8.75,35.0,4.0
Chr7,14145400,14145500,5.833333333333333,35.0,6.0
Chr9,1362400,1362500,5.833333333333333,35.0,6.0
Chr2,6655700,6655800,23.333333333333332,35.0,1.5
Chr14,17628900,17629000,35.0,35.0,1.0
Chr4,28606800,28606900,35.0,35.0,1.0
Chr2,27572100,27572200,2.121212121212121,35.0,16.5
Chr2,10335600,10335700,11.666666666666666,35.0,3.0
Chr13,23005000,23005100,3.6842105263157894,35.0,9.5
Chr3,30162500,30162600,2.2580645161290325,35.0,15.5
Chr4,12630200,12630300,4.117647058823529,35.0,8.5
Chr10,1809200,1809300,6.363636363636363,35.0,5.5
Chr2,20169000,20169100,2.2580645161290325,35.0,15.5
Chr3,28888100,28888200,3.0434782608695654,35.0,11.5
Chr10,9796200,9796300,3.6842105263157894,35.0,9.5
Chr6,2449200,2449300,5.833333333333333,35.0,6.0
Chr7,21872600,21872700,8.75,35.0,4.0
Chr6,11069400,11069500,3.888888888888889,35.0,9.0
Chr12,21997100,21997200,4.666666666666667,35.0,7.5
Chr3,18756700,18756800,17.5,35.0,2.0
Chr1,42217300,42217400,3.1818181818181817,35.0,11.0
Chr14,1182100,1182200,3.1818181818181817,35.0,11.0
Chr14,23125400,23125500,35.0,35.0,1.0
Chr9,237900,238000,14.0,35.0,2.5
Chr2,30848700,30848800,2.8,35.0,12.5
Chr11,24173700,24173800,2.8,35.0,12.5
Chr14,22053900,22054000,5.0,35.0,7.0
Chr10,22962400,22962500,3.888888888888889,35.0,9.0
Chr8,20902700,20902800,17.5,35.0,2.0
Chr10,6603900,6604000,4.666666666666667,35.0,7.5
Chr6,11613600,11613700,6.363636363636363,35.0,5.5
Chr7,17499500,17499600,2.2580645161290325,35.0,15.5
Chr9,20098400,20098500,7.0,35.0,5.0
Chr14,21382200,21382300,5.0,35.0,7.0
Chr2,7434500,7434600,17.5,35.0,2.0
Chr5,25123700,25123800,2.413793103448276,35.0,14.5
Chr6,2465400,2465500,23.333333333333332,35.0,1.5
Chr11,22168000,22168100,23.333333333333332,35.0,1.5
Chr7,22678600,22678700,8.75,35.0,4.0
Chr6,7589200,7589300,8.75,35.0,4.0
Chr4,11915800,11915900,35.0,35.0,1.0
Chr1,15273900,15274000,3.6842105263157894,35.0,9.5
Chr13,5320600,5320700,2.9166666666666665,35.0,12.0
Chr1,13062400,13062500,3.888888888888889,35.0,9.0
Chr5,19689100,19689200,5.384615384615385,35.0,6.5
Chr1,27923400,27923500,2.5925925925925926,35.0,13.5
Chr6,6692800,6692900,14.0,35.0,2.5
Chr7,27925800,27925900,35.0,35.0,1.0
Chr12,2173500,2173600,8.75,35.0,4.0
Chr5,13643200,13643300,3.5,35.0,10.0
Chr8,19275100,19275200,8.75,35.0,4.0
Chr5,12394400,12394500,3.1818181818181817,35.0,11.0
Chr9,22338000,22338100,17.5,35.0,2.0
Chr8,6546200,6546300,35.0,35.0,1.0
Chr15,19868900,19869000,11.666666666666666,35.0,3.0
Chr4,13606100,13606200,35.0,35.0,1.0
Chr8,3232600,3232700,3.6842105263157894,35.0,9.5
Chr2,2352800,2352900,8.75,35.0,4.0
Chr15,14296500,14296600,10.0,35.0,3.5
Chr12,7432800,7432900,17.5,35.0,2.0
Chr5,3870500,3870600,5.833333333333333,35.0,6.0
Chr8,23517000,23517100,35.0,35.0,1.0
Chr4,18871100,18871200,4.117647058823529,35.0,8.5
Chr9,7989800,7989900,7.0,35.0,5.0
Chr1,14550800,14550900,3.6842105263157894,35.0,9.5
Chr3,4610500,4610600,6.363636363636363,35.0,5.5
Chr1,24700500,24700600,3.3333333333333335,35.0,10.5
Chr11,2076400,2076500,10.0,35.0,3.5
Chr4,31409600,31409700,14.0,35.0,2.5
Chr15,13134000,13134100,4.117647058823529,35.0,8.5
Chr1,27157500,27157600,2.1875,35.0,16.0
Chr12,7409600,7409700,2.5,35.0,14.0
Chr15,17781900,17782000,3.3333333333333335,35.0,10.5
Chr13,3822800,3822900,4.117647058823529,35.0,8.5
Chr8,30057500,30057600,11.666666666666666,35.0,3.0
Chr4,14527700,14527800,35.0,35.0,1.0
Chr1,25471400,25471500,2.9166666666666665,35.0,12.0
Chr9,28843900,28844000,2.6923076923076925,35.0,13.0
Chr2,36359500,36359600,35.0,35.0,1.0
Chr15,20396300,20396400,2.2580645161290325,35.0,15.5
Chr1,26014100,26014200,2.9166666666666665,35.0,12.0
Chr15,20918000,20918100,3.3333333333333335,35.0,10.5
Chr1,21754500,21754600,17.5,35.0,2.0
Chr2,13995100,13995200,2.6923076923076925,35.0,13.0
Chr3,12953300,12953400,23.333333333333332,35.0,1.5
Chr2,19161700,19161800,5.833333333333333,35.0,6.0
Chr12,2150600,2150700,6.363636363636363,35.0,5.5
Chr15,22804000,22804100,6.363636363636363,35.0,5.5
Chr15,11273000,11273100,23.333333333333332,35.0,1.5
Chr11,2981600,2981700,3.6842105263157894,35.0,9.5
Chr1,15713600,15713700,3.6842105263157894,35.0,9.5
Chr3,12149400,12149500,8.75,35.0,4.0
Chr15,16289100,16289200,2.8,35.0,12.5
Chr12,18225100,18225200,2.4642857142857144,34.5,14.0
Chr15,12472300,12472400,5.3076923076923075,34.5,6.5
Chr3,32133600,32133700,8.625,34.5,4.0
Chr2,22424400,22424500,13.8,34.5,2.5
Chr11,13437500,13437600,3.8333333333333335,34.5,9.0
Chr14,22805300,22805400,17.25,34.5,2.0
Chr14,22830300,22830400,5.3076923076923075,34.5,6.5
Chr12,6944600,6944700,3.0,34.5,11.5
Chr13,3206300,3206400,3.8333333333333335,34.5,9.0
Chr4,18391900,18392000,34.5,34.5,1.0
Chr1,18360600,18360700,3.1363636363636362,34.5,11.0
Chr15,12419700,12419800,34.5,34.5,1.0
Chr8,9821000,9821100,5.3076923076923075,34.5,6.5
Chr4,24180600,24180700,5.75,34.5,6.0
Chr6,7263000,7263100,3.2857142857142856,34.5,10.5
Chr14,4167800,4167900,3.1363636363636362,34.5,11.0
Chr11,15755700,15755800,3.8333333333333335,34.5,9.0
Chr8,22023200,22023300,13.8,34.5,2.5
Chr2,27985000,27985100,4.928571428571429,34.5,7.0
Chr11,14839100,14839200,2.225806451612903,34.5,15.5
Chr7,13952200,13952300,4.928571428571429,34.5,7.0
Chr8,161300,161400,11.5,34.5,3.0
Chr14,18117500,18117600,6.9,34.5,5.0
Chr13,23439500,23439600,2.6538461538461537,34.5,13.0
Chr13,22474400,22474500,34.5,34.5,1.0
Chr2,24822300,24822400,4.928571428571429,34.5,7.0
Chr13,23199500,23199600,34.5,34.5,1.0
Chr10,1560800,1560900,3.8333333333333335,34.5,9.0
Chr2,6702800,6702900,3.2857142857142856,34.5,10.5
Chr4,15931500,15931600,17.25,34.5,2.0
Chr12,10972400,10972500,4.6,34.5,7.5
Chr7,6725500,6725600,13.8,34.5,2.5
Chr1,21161800,21161900,3.6315789473684212,34.5,9.5
Chr10,20614900,20615000,4.3125,34.5,8.0
Chr3,34283400,34283500,4.3125,34.5,8.0
Chr2,18668700,18668800,13.8,34.5,2.5
Chr2,20293800,20293900,2.15625,34.5,16.0
Chr14,14344100,14344200,34.5,34.5,1.0
Chr6,15867000,15867100,8.625,34.5,4.0
Chr9,24151100,24151200,8.625,34.5,4.0
Chr13,7531100,7531200,5.75,34.5,6.0
Chr3,16511000,16511100,17.25,34.5,2.0
Chr13,20517500,20517600,4.928571428571429,34.5,7.0
Chr6,2509400,2509500,5.3076923076923075,34.5,6.5
Chr7,30329500,30329600,11.5,34.5,3.0
Chr8,28150200,28150300,4.3125,34.5,8.0
Chr11,15708700,15708800,5.75,34.5,6.0
Chr2,22110800,22110900,9.857142857142858,34.5,3.5
Chr4,25696100,25696200,2.15625,34.5,16.0
Chr9,26253000,26253100,3.1363636363636362,34.5,11.0
Chr4,890500,890600,2.225806451612903,34.5,15.5
Chr14,20509000,20509100,3.8333333333333335,34.5,9.0
Chr5,28592300,28592400,6.2727272727272725,34.5,5.5
Chr12,21128700,21128800,34.5,34.5,1.0
Chr2,31382100,31382200,17.25,34.5,2.0
Chr11,25505600,25505700,2.6538461538461537,34.5,13.0
Chr7,28639300,28639400,13.8,34.5,2.5
Chr8,30186100,30186200,17.25,34.5,2.0
Chr15,9417000,9417100,2.090909090909091,34.5,16.5
Chr13,12442900,12443000,3.2857142857142856,34.5,10.5
Chr14,5811000,5811100,34.5,34.5,1.0
Chr7,8496700,8496800,3.45,34.5,10.0
Chr9,18751500,18751600,4.0588235294117645,34.5,8.5
Chr9,793900,794000,5.75,34.5,6.0
Chr8,27223300,27223400,4.928571428571429,34.5,7.0
Chr4,7143800,7143900,9.857142857142858,34.5,3.5
Chr3,31297800,31297900,3.8333333333333335,34.5,9.0
Chr2,35006300,35006400,8.625,34.5,4.0
Chr12,13811800,13811900,2.6538461538461537,34.5,13.0
Chr1,37759800,37759900,34.5,34.5,1.0
Chr12,15361800,15361900,6.2727272727272725,34.5,5.5
Chr4,10510400,10510500,11.5,34.5,3.0
Chr5,12577900,12578000,34.5,34.5,1.0
Chr4,29860800,29860900,9.857142857142858,34.5,3.5
Chr1,6673300,6673400,34.5,34.5,1.0
Chr15,22457300,22457400,9.857142857142858,34.5,3.5
Chr9,8072700,8072800,6.9,34.5,5.0
Chr1,31287000,31287100,34.5,34.5,1.0
Chr6,22681500,22681600,3.6315789473684212,34.5,9.5
Chr12,14807900,14808000,11.5,34.5,3.0
Chr7,8856500,8856600,11.5,34.5,3.0
Chr2,17056300,17056400,5.3076923076923075,34.5,6.5
Chr9,4984100,4984200,6.9,34.5,5.0
Chr14,6599000,6599100,7.666666666666667,34.5,4.5
Chr3,27552600,27552700,4.928571428571429,34.5,7.0
Chr12,8314600,8314700,6.9,34.5,5.0
Chr6,10629600,10629700,9.857142857142858,34.5,3.5
Chr1,40374700,40374800,6.9,34.5,5.0
Chr4,6202400,6202500,2.4642857142857144,34.5,14.0
Chr7,28712500,28712600,2.4642857142857144,34.5,14.0
Chr5,3774800,3774900,3.45,34.5,10.0
Chr3,30949300,30949400,3.2857142857142856,34.5,10.5
Chr1,2006300,2006400,7.666666666666667,34.5,4.5
Chr5,17712700,17712800,8.625,34.5,4.0
